"sno","sna","tot","sbi","sarea","mday","lat","lng","ar","sareaen","snaen","aren","bemp","act"
"500201001","YouBike2.0_下庄市場","20","5","八里區","20250606092202","25.14678","121.3999","舊城路21號(前)","Bali Dist","YouBike2.0_Shia Juang Market","No.21, Jiucheng Rd., Bali Dist","15","1"
"500201002","YouBike2.0_八里行政中心","20","7","八里區","20250606092403","25.15397","121.40721","十三行路(靠中山路二段路口西南側人行道)","Bali Dist","YouBike2.0_Bali District Center","Shisanhang Rd. & Zhongshan Rd. Intersection (Southwest)","13","1"
"500201003","YouBike2.0_八里中庄市場綜合大樓","28","6","八里區","20250606090704","25.15993","121.41407","中山路一段268巷2號(對面汽車停車場)","Bali Dist","YouBike2.0_Bali Chung Chuang Market Multi-Purpose Building","No. 2, Ln. 268, Sec. 1, Zhongshan Rd., Bali Dist.","22","1"
"500201004","YouBike2.0_大崁國小","20","7","八里區","20250606090503","25.16064","121.41938","忠八街2號(前)","Bali Dist","YouBike2.0_DaKan Elementary School","No. 2, Zhong 8th St., Bali Dist.","13","1"
"500201006","YouBike2.0_龍形停車場","40","12","八里區","20250606090602","25.13041","121.4513","龍米路一段318號(對面停車場)","Bali Dist","YouBike2.0_Long Xing Parking Tower","No. 318, Sec 1, Longmi Rd.(Opposite)","28","1"
"500201007","YouBike2.0_十三行博物館","46","13","八里區","20250606090204","25.157","121.406","博物館路183號(對面)","Bali Dist","YouBike2.0_Shihsanhang Museum of Archaeology","No. 183, Museum Rd., Bali Dist.(opposite)","33","1"
"500201008","YouBike2.0_八里區民活動中心","14","5","八里區","20250606085703","25.14933","121.40126","中山路二段356巷12號(旁)","Bali Dist","YouBike2.0_Bali Activity Center","No. 12, Ln. 356, Sec. 2, Zhongshan Rd.","9","1"
"500201009","YouBike2.0_挖仔尾自然生態保留區","15","2","八里區","20250606063901","25.16419","121.41586","博物館路/挖仔尾街口(西側)","Bali Dist","YouBike2.0_Waziwei Ecological Reserves","Museum Rd. & Waziwei St. Intersection(West)","13","1"
"500201010","YouBike2.0_文昌公園","15","4","八里區","20250606085402","25.15709","121.41033","中山路二段/文昌路(東側)","Bali Dist","YouBike2.0_Wenchang Park","Sec. 2, Zhongshan Rd. & Wenchang Rd.(East)","11","1"
"500201011","YouBike2.0_八里國小","15","3","八里區","20250606090903","25.14896","121.4026","中山路二段251號(對面)","Bali Dist","YouBike2.0_Bali Elementary School","No. 251, Sec. 2, Zhongshan Rd.(Opposite)","12","1"
"500201012","YouBike2.0_八里文化公園(棒球場)","30","11","八里區","20250606094203","25.16359","121.41251","忠孝路與挖仔街口(棒球場公園入口)","Bali Dist","YouBike2.0_Bali Wenhua Park","Zhongxiao & Waziwei street entrance (baseball park)","19","1"
